sample_idx,baseline,flip_action_x,scale_action_0.01x,scale_action_0.05x,scale_action_2x,scale_action_15x,scale_action_20x,random_action,obs_gaussian_0.01,add_0.02_all,add_0.04_all,add_0.10_all,add_0.20_all
0,0.01148019265383482,0.6997963786125183,2.240236282348633,2.230311870574951,24.6668701171875,1998.541259765625,2988.516845703125,5.446037769317627,0.007042699959129095,0.020687811076641083,0.08060010522603989,1.0704513788223267,4.495368480682373
1,0.03478243947029114,19.730440139770508,6.907626628875732,7.555267333984375,19.721609115600586,1372.152587890625,2819.919921875,19.12920379638672,0.5983570218086243,0.023745715618133545,0.10290887206792831,0.47344496846199036,1.3234331607818604
2,0.01476196013391018,5.709338188171387,1.9431681632995605,2.1478023529052734,33.4908332824707,2490.3291015625,4274.26513671875,11.40541934967041,0.0759061798453331,0.06081258878111839,0.29000815749168396,1.1785484552383423,5.2220988273620605
3,0.06292200833559036,6.870124340057373,4.849205017089844,4.290670394897461,17.26833724975586,1861.655029296875,3285.15283203125,5.629273414611816,0.32002755999565125,0.15019050240516663,0.20273461937904358,0.4689125120639801,2.4712865352630615
4,0.0077476720325648785,1.9758949279785156,2.698469638824463,2.633192777633667,24.89006233215332,2020.143798828125,3538.5546875,6.241320610046387,0.32044681906700134,0.052157770842313766,0.14027027785778046,0.6883280277252197,2.364729881286621
5,0.05241646617650986,5.050747394561768,2.6727354526519775,2.502537488937378,10.850821495056152,1369.590576171875,2613.006103515625,9.317989349365234,0.1870386004447937,0.044777609407901764,0.051728248596191406,0.037645649164915085,1.5511800050735474
6,0.016886640340089798,3.7002053260803223,3.0599966049194336,3.3614983558654785,25.774927139282227,1901.67578125,3237.797119140625,2.9307610988616943,1.2959471940994263,0.035841286182403564,0.16048882901668549,0.5261038541793823,2.495368480682373
7,0.02254152111709118,0.09850459545850754,0.7103252410888672,0.7024801969528198,12.55353832244873,1234.792236328125,1854.2628173828125,1.7559340000152588,0.25079837441444397,0.2845743000507355,0.9674657583236694,3.214296340942383,7.232978343963623
8,0.040909286588430405,1.4199861288070679,2.2923800945281982,2.1150851249694824,27.437009811401367,2221.62548828125,3624.307373046875,5.867938041687012,0.265005499124527,0.09424598515033722,0.16058382391929626,0.7310771346092224,3.941504716873169
9,0.04419903829693794,8.717955589294434,5.347641468048096,4.863977432250977,14.793438911437988,1869.5223388671875,3710.036865234375,19.373029708862305,0.11860516667366028,0.05352126061916351,0.07792375236749649,0.4603482186794281,3.1472203731536865
10,0.040828388184309006,16.9363956451416,6.264861583709717,5.804784774780273,11.633727073669434,914.1895751953125,1679.8004150390625,5.489654064178467,0.4133778512477875,0.06187155470252037,0.12701982259750366,0.4486910104751587,0.43257930874824524
11,0.0518227145075798,0.057271260768175125,0.32163459062576294,0.3739519715309143,1.722823143005371,380.8378601074219,730.5992431640625,5.942801475524902,0.5688010454177856,0.25221648812294006,0.8183846473693848,2.191380023956299,4.821393013000488
12,0.015385005623102188,1.81330406665802,1.6842012405395508,1.632131576538086,40.411468505859375,2215.484619140625,3440.568359375,2.5866000652313232,0.07823122292757034,0.31263065338134766,1.0402154922485352,3.7519986629486084,9.409944534301758
13,0.05483650043606758,0.07011467963457108,1.843435525894165,2.0515716075897217,20.31995391845703,1293.12548828125,1996.6046142578125,2.712249279022217,0.04113490507006645,0.2690102756023407,0.7503899335861206,2.7116551399230957,7.380849361419678
14,0.1441500335931778,0.10065952688455582,1.5648120641708374,1.581711769104004,13.874808311462402,1492.046630859375,2469.145263671875,1.7585605382919312,0.2751031517982483,0.4465465247631073,0.9539574384689331,3.0657389163970947,6.632167816162109
15,0.11915619671344757,0.42638400197029114,1.104929804801941,1.0774171352386475,1.4326822757720947,385.20330810546875,703.11669921875,15.777003288269043,0.5386530160903931,0.15768322348594666,0.31110742688179016,1.5189391374588013,4.403379440307617
16,0.010240009054541588,2.9734015464782715,0.8924750089645386,0.8971721529960632,27.374710083007812,2294.298583984375,3072.521484375,3.8178043365478516,0.26400548219680786,0.2842606008052826,0.7296953797340393,2.7262189388275146,7.016510963439941
17,0.028481001034379005,0.20028048753738403,1.7259541749954224,1.9135985374450684,24.37908363342285,1887.256103515625,3542.087890625,5.9217987060546875,2.0569498538970947,0.17534072697162628,0.4010949730873108,1.445854663848877,4.322513580322266
18,0.03979812562465668,0.10520490258932114,0.8966618180274963,0.8131638765335083,6.9576616287231445,877.3475341796875,1475.099609375,2.3204681873321533,0.43878480792045593,0.220266655087471,0.7936328649520874,3.430356979370117,7.094392776489258
19,0.032817989587783813,3.6839423179626465,0.5396562814712524,0.5663228034973145,26.542264938354492,2106.08447265625,3139.052001953125,2.5097312927246094,0.025934897363185883,0.40434184670448303,1.2088673114776611,3.9480233192443848,9.904449462890625
20,0.2447078824043274,0.8852185010910034,0.28746330738067627,0.2696834206581116,0.7902984619140625,30.246217727661133,49.52156066894531,3.127291679382324,0.6183830499649048,0.35861149430274963,0.6922338008880615,1.5975794792175293,3.1544747352600098
21,0.01922439970076084,0.11122753471136093,2.2475225925445557,2.1784310340881348,22.01266860961914,1818.007080078125,2876.787109375,5.012981414794922,0.07418522238731384,0.10636693239212036,0.4329487085342407,2.488311767578125,6.901417255401611
22,0.013206216506659985,1.8544974327087402,3.443516254425049,3.0094964504241943,24.92292022705078,1943.4373779296875,3869.913330078125,3.3267130851745605,0.5523501634597778,0.03289351612329483,0.0704137459397316,0.5020180940628052,1.4746097326278687
23,0.021801544353365898,0.9112144708633423,2.3732969760894775,2.6024956703186035,17.949432373046875,1640.3370361328125,2174.297119140625,4.715864181518555,0.12231166660785675,0.1885383278131485,0.6412143707275391,3.1128697395324707,7.931850433349609
24,0.052777618169784546,0.06448721140623093,0.43384307622909546,0.34764158725738525,1.5271399021148682,241.97702026367188,411.17889404296875,2.5068769454956055,0.039667412638664246,0.3745718002319336,0.9237793684005737,2.8977034091949463,6.3244476318359375
25,0.03411947935819626,2.907870054244995,4.90248441696167,4.177274227142334,20.16754150390625,1486.576171875,1839.0982666015625,0.9349718689918518,0.08816377818584442,0.08206307888031006,0.21854212880134583,1.148598313331604,1.5755847692489624
26,0.04432063549757004,4.733316898345947,3.1162538528442383,3.117417335510254,15.037689208984375,1703.45654296875,2456.677490234375,9.823274612426758,0.777641773223877,0.04974151402711868,0.03490718826651573,0.3070569336414337,2.3874034881591797
27,0.03414932265877724,5.69258975982666,1.9442615509033203,1.8048280477523804,20.73086929321289,2672.494140625,4343.00048828125,3.944208860397339,0.614326000213623,0.07198887318372726,0.18445239961147308,1.0856659412384033,4.891147136688232
28,0.01753157749772072,11.32766342163086,4.856573581695557,5.341586589813232,23.527179718017578,2183.250244140625,3912.724853515625,10.976053237915039,0.34325048327445984,0.03149637579917908,0.12395127862691879,0.48944932222366333,1.5416914224624634
29,0.0454149954020977,23.524127960205078,9.31259822845459,9.218843460083008,26.126712799072266,935.9680786132812,751.4488525390625,32.727970123291016,0.125130757689476,0.030437391251325607,0.1421833336353302,1.0054059028625488,2.725796937942505
30,0.26183170080184937,1.7477861642837524,1.1399301290512085,1.1086056232452393,0.40063250064849854,12.667133331298828,19.938308715820312,22.77226448059082,1.0732020139694214,0.15549348294734955,0.32152655720710754,1.1681184768676758,2.996704339981079
31,0.02327399142086506,11.269227981567383,7.118476867675781,5.915149688720703,22.197860717773438,1736.4462890625,2722.46435546875,7.338589668273926,0.7276055216789246,0.021273521706461906,0.03126133605837822,0.2940032184123993,2.5925509929656982
32,0.017224576324224472,3.8398427963256836,3.7057948112487793,3.4792943000793457,25.018476486206055,2204.6376953125,3953.698486328125,9.095977783203125,1.3199938535690308,0.029347766190767288,0.0795956701040268,0.45613399147987366,1.130366563796997
33,0.0334794744849205,0.0395883172750473,2.338137149810791,2.374818801879883,26.565351486206055,2619.38134765625,3709.80908203125,3.7472686767578125,0.042780861258506775,0.036883395165205,0.05683637410402298,0.7930242419242859,4.139278411865234
34,0.018755747005343437,2.715937614440918,3.0312318801879883,2.9268505573272705,27.808792114257812,1983.253662109375,3653.71044921875,9.735764503479004,0.5321833491325378,0.03568056970834732,0.07884515821933746,0.43269994854927063,3.154527187347412
35,0.06330636143684387,5.038026809692383,3.2612292766571045,3.0258290767669678,13.288732528686523,1920.0750732421875,3372.84228515625,7.453086853027344,1.2535866498947144,0.04726419597864151,0.06542350351810455,0.3661554157733917,3.6298739910125732
36,0.10738285630941391,0.11178244650363922,1.0372612476348877,1.121018886566162,1.9685149192810059,498.0807800292969,872.4908447265625,2.6251182556152344,0.11985379457473755,0.19442014396190643,0.5099442601203918,1.7973096370697021,4.7627177238464355
37,0.05297182872891426,0.14821776747703552,0.48621246218681335,0.4999349117279053,2.000910997390747,307.87445068359375,464.4072265625,1.6564315557479858,0.10422273725271225,0.5034018158912659,1.3364274501800537,3.6805660724639893,7.038529396057129
38,0.17559483647346497,0.20783650875091553,0.13302072882652283,0.12180662155151367,0.535088837146759,92.99658966064453,157.41078186035156,0.924321174621582,0.5598217248916626,0.16577455401420593,0.25479331612586975,0.3560928702354431,0.8781446218490601
39,0.04393647611141205,0.09041598439216614,0.30960792303085327,0.3229461908340454,0.8755276203155518,180.6369171142578,362.3650207519531,2.5720632076263428,0.07033418864011765,0.26350125670433044,0.6126841306686401,1.8343744277954102,4.537655830383301
40,0.007083691190928221,0.016932465136051178,1.1628729104995728,1.108854055404663,33.573787689208984,1902.56689453125,4128.765625,2.2663257122039795,0.032400406897068024,0.20598788559436798,0.6966737508773804,3.714320182800293,8.019081115722656
41,0.06533801555633545,0.3482568562030792,1.1474071741104126,1.2929027080535889,26.7441463470459,1987.4697265625,3009.807861328125,3.7255187034606934,0.12456636875867844,0.2975767254829407,0.640669584274292,2.437575578689575,6.368504047393799
42,0.006994336377829313,1.861648440361023,1.9367375373840332,1.8218985795974731,23.903289794921875,1669.2938232421875,3126.709228515625,7.308416366577148,0.14628693461418152,0.04829491674900055,0.18075257539749146,1.1874172687530518,5.415747165679932
43,0.025705359876155853,3.296828508377075,4.5071892738342285,4.652674674987793,23.19447135925293,2054.462646484375,3358.47607421875,11.889206886291504,0.5315374732017517,0.060946643352508545,0.1297697126865387,0.5543660521507263,1.8906311988830566
44,0.21969185769557953,0.20888209342956543,0.17583107948303223,0.19095318019390106,0.1766306757926941,0.23605677485466003,0.22741886973381042,3.047377824783325,0.1993730664253235,0.24039018154144287,0.43801936507225037,1.3299338817596436,2.8284730911254883
45,0.10839679837226868,1.4823423624038696,0.9543302655220032,0.9260350465774536,4.892932891845703,522.333251953125,898.3195190429688,2.6195263862609863,0.11177178472280502,0.15904782712459564,0.19070495665073395,0.3233461081981659,0.5720327496528625
46,0.10736628621816635,0.036772195249795914,1.7316606044769287,1.6593704223632812,16.317489624023438,1590.5179443359375,2186.0478515625,4.004826545715332,0.5424736142158508,0.30716657638549805,0.7553227543830872,2.374983310699463,6.332442760467529
47,0.037317898124456406,5.19371223449707,2.294447898864746,2.2344207763671875,8.429723739624023,1247.9638671875,2544.274169921875,11.296058654785156,1.432153344154358,0.06384293735027313,0.11720116436481476,0.10619994252920151,2.4490833282470703
48,0.023245520889759064,2.4579811096191406,2.3046951293945312,2.206800937652588,22.607460021972656,1653.7281494140625,3489.89208984375,12.533790588378906,0.10783539712429047,0.06251836568117142,0.09585942327976227,0.5507209897041321,1.3996902704238892
49,0.04047010466456413,4.424989223480225,1.9520726203918457,1.8531073331832886,4.863460540771484,727.0568237304688,1703.6224365234375,4.523446559906006,0.1454845815896988,0.07703572511672974,0.1493227630853653,0.46377015113830566,3.481341600418091
50,0.031129803508520126,1.1416573524475098,1.1414927244186401,1.0978295803070068,10.248477935791016,966.84619140625,2090.892578125,7.111176013946533,0.3361457586288452,0.2170460820198059,0.6331170201301575,2.796856641769409,7.1800618171691895
51,0.05575866997241974,0.06146329641342163,0.7561819553375244,0.7416337728500366,3.6522719860076904,801.8853759765625,1139.75927734375,1.4335930347442627,0.27396318316459656,0.29789990186691284,0.8045023083686829,3.621407985687256,9.175101280212402
52,0.03505720943212509,17.843433380126953,7.702946186065674,7.101566314697266,21.845844268798828,1410.0184326171875,1835.248046875,3.9400634765625,0.4206233322620392,0.04103551432490349,0.053618911653757095,0.11507922410964966,1.0000557899475098
53,0.036775074899196625,0.4189910888671875,2.6937313079833984,2.706252336502075,21.809728622436523,2189.10546875,3130.4501953125,8.065648078918457,0.24803443253040314,0.07272203266620636,0.20244164764881134,1.4006133079528809,4.753607273101807
54,0.07815694808959961,1.2641334533691406,1.7740992307662964,1.7042572498321533,15.010200500488281,1421.33203125,2309.275634765625,10.223861694335938,0.13541239500045776,0.08782307058572769,0.2619673013687134,1.8405792713165283,5.453653812408447
55,0.005778816528618336,2.7250590324401855,4.3443403244018555,4.328799247741699,15.999317169189453,2593.11962890625,3601.508544921875,6.829860687255859,0.8138364553451538,0.04080389067530632,0.16026227176189423,1.076074481010437,2.1337246894836426
56,0.03343633562326431,17.343902587890625,7.431011199951172,7.793855667114258,32.99860382080078,735.7626953125,1881.49853515625,27.30589485168457,0.02808871865272522,0.1713189035654068,0.35490739345550537,1.1768701076507568,1.8401665687561035
57,0.09152058511972427,5.900295257568359,3.1262717247009277,3.203115224838257,22.05013084411621,2621.1767578125,3741.4609375,4.038520812988281,1.684159517288208,0.16937881708145142,0.2878125011920929,0.6311134099960327,3.4796957969665527
58,0.018000639975070953,4.57694149017334,4.198380470275879,4.0265021324157715,20.88913917541504,2258.55322265625,3622.172119140625,5.201813220977783,0.15589208900928497,0.028251564130187035,0.0873512551188469,0.7522064447402954,2.348499298095703
59,0.027475906535983086,23.235504150390625,7.500785827636719,7.368456840515137,18.64495277404785,1139.6973876953125,1647.906494140625,30.413427352905273,0.061066314578056335,0.027404064312577248,0.07012414187192917,0.21723932027816772,0.24353526532649994
60,0.03076442889869213,0.038529641926288605,1.8659075498580933,1.6996830701828003,27.020048141479492,2523.949951171875,3829.479736328125,5.068160057067871,0.014226646162569523,0.1427820771932602,0.3823077380657196,1.58725905418396,5.454826354980469
61,0.2336556315422058,1.4924967288970947,0.5915904641151428,0.6173299551010132,1.0136431455612183,48.25947189331055,78.75785064697266,13.260797500610352,0.3626926839351654,0.31211063265800476,0.4984496235847473,1.4507077932357788,3.4197943210601807
62,0.021813372150063515,1.4717276096343994,0.6101673245429993,0.6888003349304199,22.76714324951172,1747.86669921875,2990.9052734375,7.823683261871338,0.021377744153141975,0.2810981273651123,1.0534920692443848,3.2550179958343506,8.647690773010254
63,0.030768809840083122,5.536052227020264,3.3250484466552734,3.4430975914001465,25.040220260620117,1869.92041015625,4360.62109375,17.937536239624023,0.31791743636131287,0.09840785712003708,0.2159772515296936,0.5696554183959961,2.9597573280334473
64,0.23412033915519714,0.9585385918617249,0.38368281722068787,0.41885435581207275,0.6008542776107788,417.2093811035156,734.2418212890625,3.203320264816284,0.20409385859966278,0.3351207971572876,0.8529064655303955,2.003387451171875,4.743711471557617
65,0.016198880970478058,0.9810160398483276,1.9940950870513916,1.73623526096344,28.762237548828125,2312.661865234375,3047.85009765625,6.998694896697998,0.011933489702641964,0.09902969747781754,0.4458405673503876,2.6350173950195312,6.37941312789917
66,0.009109563194215298,0.5309769511222839,1.2374050617218018,1.240404486656189,37.23355484008789,2127.225341796875,4651.3994140625,3.3917224407196045,0.0063285925425589085,0.34013307094573975,1.2580792903900146,4.240707874298096,9.679680824279785
67,0.06285283714532852,3.3598978519439697,4.312622547149658,3.8404295444488525,17.84811019897461,1444.38134765625,2293.105224609375,24.030662536621094,2.0073230266571045,0.25497546792030334,0.6441560387611389,2.7664685249328613,5.016655445098877
68,0.007925496436655521,4.000441074371338,3.4109246730804443,3.797633171081543,25.55211639404297,2452.95556640625,4258.8349609375,4.037916660308838,1.7650001049041748,0.021769557148218155,0.08169354498386383,0.725041925907135,3.996450185775757
69,0.028351394459605217,0.0509217232465744,0.641090452671051,0.5575542449951172,2.5943844318389893,487.90509033203125,725.7882080078125,30.53160858154297,0.29000914096832275,0.2212226390838623,0.7855253219604492,2.4591996669769287,5.58455228805542
70,0.22139456868171692,2.2551498413085938,1.7051630020141602,1.393409013748169,1.0981688499450684,30.441869735717773,56.972679138183594,2.4299473762512207,0.3816424012184143,0.19390878081321716,0.47601431608200073,1.613439679145813,4.096169471740723
71,0.05528805032372475,3.211625814437866,2.9259085655212402,2.624330759048462,19.99747085571289,2253.57666015625,3867.86669921875,28.70939826965332,0.6528230905532837,0.14104728400707245,0.2834531366825104,0.7625507116317749,4.074642181396484
72,0.04286991059780121,26.883543014526367,8.863779067993164,8.895475387573242,25.87547492980957,1138.151123046875,1412.605712890625,35.40675354003906,0.0389217883348465,0.1490856260061264,0.4424079358577728,1.3142788410186768,2.093806028366089
73,0.015830934047698975,0.8167834281921387,2.474046230316162,2.6130690574645996,25.4940185546875,2006.5560302734375,2730.07763671875,5.509795188903809,0.6104260087013245,0.05051835626363754,0.1418868750333786,1.4310836791992188,4.516940116882324
74,0.05496250092983246,0.06748452037572861,0.43993163108825684,0.52264404296875,0.6349723935127258,180.37026977539062,351.60565185546875,5.0040202140808105,0.25049886107444763,0.20742544531822205,0.5888403654098511,2.167076826095581,4.799235820770264
75,0.09009183943271637,2.993165969848633,1.58981192111969,1.4484208822250366,1.176566243171692,436.03369140625,822.6343994140625,2.6915388107299805,1.3552913665771484,0.18594017624855042,0.2662597894668579,0.33765581250190735,2.4200453758239746
76,0.034215573221445084,0.015855368226766586,1.0101643800735474,0.9984791278839111,25.21828269958496,1555.67431640625,3096.2958984375,11.035757064819336,0.04973328858613968,0.3124874532222748,0.6842013001441956,2.6100966930389404,7.855189323425293
77,0.041504666209220886,2.1451268196105957,2.0050597190856934,1.731886863708496,36.65085983276367,1992.888671875,3807.45751953125,26.04016876220703,0.8689056038856506,0.08469074964523315,0.23270487785339355,1.2841455936431885,4.93745756149292
78,0.021160228177905083,2.3880434036254883,2.3576507568359375,2.603187084197998,21.45952606201172,1489.798095703125,2498.539794921875,1.695021629333496,1.8529428243637085,0.0378861241042614,0.14654552936553955,1.268829584121704,4.469241142272949
79,0.020385967567563057,2.242957592010498,0.5734864473342896,0.7943556308746338,30.412734985351562,1886.139404296875,3150.01708984375,5.928006172180176,0.601479172706604,0.31644493341445923,0.9274212718009949,4.168856143951416,11.401895523071289
80,0.028998179361224174,8.643696784973145,4.263730525970459,4.558071136474609,13.080690383911133,1090.780517578125,1800.56591796875,3.413670539855957,0.7921279072761536,0.04301511496305466,0.05306161567568779,0.11622696369886398,1.0461745262145996
81,0.14922995865345,0.42883604764938354,1.3630977869033813,1.3327851295471191,4.863763809204102,634.1880493164062,1065.9051513671875,16.7855224609375,0.49245989322662354,0.1012064516544342,0.26003792881965637,1.5412867069244385,4.6768269538879395
82,0.033076249063014984,7.675857067108154,4.5196943283081055,3.977844715118408,19.028940200805664,1003.9501342773438,2398.6435546875,9.24677848815918,0.04376889765262604,0.05752164125442505,0.18298554420471191,0.9717540740966797,1.4944268465042114
83,0.050872307270765305,5.396254539489746,3.6356217861175537,3.830138921737671,23.501758575439453,1983.470947265625,4238.4580078125,9.615394592285156,0.01530058030039072,0.18831518292427063,0.32439276576042175,0.7362855672836304,3.3235104084014893
84,0.03085797280073166,7.123898506164551,4.745607376098633,4.0734052658081055,27.598297119140625,2040.2484130859375,4322.32275390625,3.6137337684631348,0.1952294409275055,0.03931743651628494,0.07578057795763016,0.5641104578971863,1.9579479694366455
85,0.010232266038656235,0.02842586673796177,3.0280933380126953,2.7717137336730957,18.29381561279297,1450.1329345703125,3309.975341796875,13.908774375915527,0.016295339912176132,0.0758577361702919,0.2645570933818817,0.7199579477310181,0.9361709356307983
86,0.34408631920814514,1.9659262895584106,0.5212374329566956,0.517544686794281,1.746509075164795,378.10784912109375,1041.692138671875,2.7819085121154785,0.1733374446630478,0.11087403446435928,0.22677110135555267,1.9642871618270874,5.159658432006836
87,0.038382358849048615,6.375916004180908,2.893632411956787,2.607064962387085,21.42205047607422,2154.091064453125,3475.95263671875,6.285704135894775,0.11377812922000885,0.02687898650765419,0.10841787606477737,0.6620298624038696,4.39804220199585
88,0.03070589154958725,0.49126559495925903,0.9538788199424744,0.8141148090362549,8.461751937866211,1111.5521240234375,1698.2293701171875,11.252084732055664,0.12832462787628174,0.27069711685180664,1.0378648042678833,3.6247570514678955,8.026082992553711
89,0.07633090019226074,0.5778769254684448,0.471956729888916,0.39120763540267944,0.6127666234970093,22.460124969482422,37.45171356201172,0.4091215431690216,0.459023118019104,0.263161301612854,0.7588362693786621,2.4233815670013428,5.5716071128845215
90,0.013962856493890285,4.241928577423096,2.832672357559204,2.8474345207214355,16.126934051513672,1696.630126953125,3414.350341796875,13.415233612060547,0.38208338618278503,0.0226350799202919,0.0730285570025444,0.690153956413269,4.6670708656311035
91,0.006532121449708939,6.099818229675293,4.293636322021484,4.408827781677246,22.073427200317383,2287.566650390625,3737.60546875,1.4944193363189697,0.02023141086101532,0.02344689704477787,0.09952174127101898,0.631337583065033,2.042544364929199
92,0.014342564158141613,1.9748725891113281,3.506042242050171,3.627293586730957,14.733359336853027,1709.5982666015625,3317.1826171875,16.713764190673828,0.03514634817838669,0.028536217287182808,0.06733086705207825,0.7455196380615234,1.54417884349823
93,0.01334457378834486,0.6267054080963135,1.2320849895477295,1.140920639038086,35.30210876464844,2141.380126953125,3781.626953125,4.566037654876709,0.19041013717651367,0.2849542200565338,0.7444857358932495,3.740259885787964,7.403848171234131
94,0.19098782539367676,0.7865450978279114,0.37199071049690247,0.31365007162094116,0.3052166700363159,16.792753219604492,26.447120666503906,12.075845718383789,0.33110395073890686,0.1906571239233017,0.3028457760810852,0.5764684081077576,0.8431421518325806
95,0.018017085269093513,3.76454758644104,1.5801122188568115,1.3391659259796143,24.112323760986328,2348.4306640625,4119.6484375,23.6169490814209,0.04760570824146271,0.13536623120307922,0.5201054215431213,1.9558367729187012,7.044671058654785
96,0.06486409902572632,11.382223129272461,5.062798500061035,4.670528411865234,21.919580459594727,1747.146484375,3370.709228515625,10.016351699829102,0.9543023705482483,0.054608073085546494,0.07428822666406631,0.42776697874069214,0.9423277974128723
97,0.013347821310162544,20.397634506225586,8.739296913146973,7.654421329498291,21.484193801879883,996.5618896484375,1398.237060546875,38.545135498046875,0.04519610106945038,0.06337384134531021,0.25933077931404114,0.9094839096069336,1.8980700969696045
98,0.0241687074303627,0.0809326097369194,2.1411867141723633,2.287870168685913,28.630475997924805,2477.647216796875,3643.4912109375,3.429943799972534,0.7096738815307617,0.03716787323355675,0.327282190322876,2.3079771995544434,6.423490524291992
99,0.0080715985968709,3.5840260982513428,3.0728378295898438,2.9312098026275635,30.332901000976562,2060.8818359375,3531.47412109375,3.4032182693481445,0.06888397783041,0.03948754817247391,0.16754250228405,0.8543310165405273,3.0251035690307617
